city,latitude,longitude
Kabul,34.4667,69.1833
Tirane,41.3,19.8167
Algiers,36.7,3.13333
Pago Pago,-14.2667,-170.717
Andorra la Vella,42.5167,1.53333
Luanda,-8.83333,13.25
W. Indies,17.3333,-61.8
Buenos Aires,-36.5,-60
Yerevan,40.1667,44.5167
Oranjestad,12.5333,-70.0333
Canberra (Use Sydney),-35.25,149.133
Vienna,48.2,16.3667
Baku,40.4833,49.9333
Nassau,25.0833,-77.3333
Manama,26.1667,50.5
Dhaka,23.7167,90.4333
Bridgetown,13.0833,-59.5
Minsk,53.8667,27.5
Brussels,50.85,4.35
Belmopan,17.3,-88.5
Porto-Novo,6.38333,2.7
Thimphu,27.5167,89.75
La Paz,-16.3333,-68.1667
Sarajevo,43.8667,18.4333
Gaborone,-24.75,25.95
Brasilia,-15.7833,-47.9167
Road Town,18.45,-64.6167
Bandar Seri Begawan,4.86667,115
Sofia,42.75,23.3333
Ouagadougou,12.25,-1.5
Bujumbura,-3.26667,29.3
Phnom Penh,11.55,104.917
Yaounde,3.83333,11.5833
Ottawa,45.45,-75.7
Praia,15.0333,-23.5667
George Town,19.3333,-81.4
Bangui,4.38333,18.5833
N'Djamena,12.1667,14.9833
Santiago,-33.4,-70.6667
Beijing,39.9167,116.333
Bogota,4.56667,-74
Moroni,-11.6667,43.2667
Brazzaville,-4.15,15.2
San Jose,9.91667,-84.0333
Yamoussoukro,6.81667,-5.28333
Zagreb,45.8333,15.9667
Havana,23.1333,-82.3667
Nicosia,35.1667,33.4167
Prague,50.0833,14.3667
P'yongyang,39.15,125.5
Kinshasa,-4.33333,15.25
Copenhagen,55.6833,12.5667
Djibouti,11.1333,42.3333
Roseau,15.3333,-61.4
Santo Domingo,18.5,-69.9833
Dili,-8.48333,125.567
Quito,-0.25,-78.5833
Cairo,30.0167,31.2333
San Salvador,13.6667,-89.1667
Malabo,3.75,8.83333
Asmara,15.3167,38.9167
Tallinn,59.3667,24.8
Addis Ababa,9.03333,38.7
Stanley,-51.6667,-59.85
Torshavn,62.0833,-6.93333
Suva,-18.1,178.5
Helsinki,60.25,25.05
Paris,48.8333,2.33333
Cayenne,5.08333,-52.3
Papeete,-17.5333,-149.567
Libreville,0.416667,9.43333
Banjul,13.4667,-16.6667
T'bilisi,41.7167,44.8333
Berlin,52.5,13.4167
Accra,5.58333,-0.1
Athens,37.9667,23.7667
Nuuk,64.1667,-51.5833
Basse-Terre,16,-61.7333
Guatemala,14.6667,-90.3667
St. Peter Port,49.4333,-2.55
Conakry,9.48333,-13.8167
Bissau,11.75,-15.75
Georgetown,6.83333,-58.2
Port-au-Prince,18.6667,-72.3333
,-53,74
Tegucigalpa,14.0833,-87.2333
Budapest,47.4833,19.0833
Reykjavik,64.1667,-21.95
New Delhi,28.6167,77.2167
Jakarta,-6.15,106.817
Tehran,35.7333,51.5
Baghdad,33.3333,44.5
Dublin,53.35,-6.25
Jerusalem,31.7833,35.2
Rome,41.9,12.4833
Kingston,18,-76.8333
Tokyo,35.682,139.69
Amman,31.95,35.8667
Astana,51.1667,71.5
Nairobi,-1.28333,36.8
Tarawa,1.5,173
Kuwait,29.5,48
Bishkek,42.9,74.7667
Vientiane,17.9667,102.6
Riga,56.8833,24.1333
Beirut,33.8833,35.5167
Maseru,-29.3,27.5
Monrovia,6.3,-10.7833
Tripoli,32.8167,13.1167
Vaduz,47.1333,9.51667
Vilnius,54.6333,25.3167
Luxembourg,49.6167,6.15
Antananarivo,-18.9167,47.5167
Lilongwe,-14,33.8
Kuala Lumpur,3.15,101.683
Male,4,73.4667
Bamako,12.5667,-7.91667
Valletta,35.9,14.5167
Fort-de-France,14.6,-61.0333
Nouakchott,-20.1667,57.5
Mamoudzou,-12.8,45.2333
Mexico,19.3333,-99.1667
Palikir,6.91667,158.15
Chisinau ,47.025,28.839
Maputo,-25.9667,32.5333
Yangon,16.75,96.3333
Windhoek,-22.5833,17.0667
Kathmandu,27.75,85.3333
Amsterdam,52.3833,4.9
Willemstad,12.0833,-69
Noumea,-22.2833,166.5
Wellington,-41.3167,174.767
Managua,12.1,-86.3333
Niamey,13.45,2.1
Abuja,9.08333,7.53333
Kingston,-45.3333,168.717
